occurrence_no,record_type,collection_no,identified_name,identified_rank,accepted_name,accepted_rank,accepted_no,taxon_environment,early_interval,late_interval,max_ma,min_ma,phylum,class,order,family,genus,cc,state,county,lat,lng,latlng_basis,latlng_precision,geogscale,paleolat,paleolng,geoplate,formation,geological_group,stratscale,lithology1,lithology2,environment,tectonic_setting,pres_mode,preservation_quality,lagerstatten,collection_coverage,collection_type,ref_author,ref_pubyr,reference_no,research_group,age_range_ma,geological_era,geological_period
41524,occ,3257,Aves indet.,class,Aves,class,36616,terrestrial,Lutetian,,48.07,41.03,Chordata,Aves,,,,UK,England,Hampshire,51.083332,-1.166667,based on political unit,minutes,small collection,43.28,5.97,315,Earnley,Bracklesham,group of beds,sandstone,,coastal indet.,,body,,,,biostratigraphic,Bone et al.,1991.0,149,marine invertebrate,7.039999999999999,Cenozoic,Paleogene
41580,occ,3256,Aves indet.,class,Aves,class,36616,terrestrial,Ypresian,,56.0,48.07,Chordata,Aves,,,,UK,England,Hampshire,51.083332,-1.166667,based on political unit,minutes,small collection,43.28,5.97,315,Wittering,Bracklesham,bed,sandstone,,coastal indet.,,mold/impression,,,,biostratigraphic,Bone et al.,1991.0,149,marine invertebrate,7.93,Cenozoic,Paleogene
130209,occ,10755,Chaoyangosaurus liaosiensis n. gen. n. sp.,species,Chaoyangsaurus youngi,species,55580,terrestrial,Late Kimmeridgian,Valanginian,152.21,132.6,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Chaoyangsauridae,Chaoyangsaurus,CN,Liaoning,Chaoyang,42.9333,123.966698,stated in text,4,small collection,50.66,127.48,604,Tuchengzi,,group of beds,mudstone,,fluvial indet.,,body,good,,some macrofossils,taxonomic,Dong,1992.0,13360,vertebrate,19.610000000000014,Mesozoic,Jurassic/Cretaceous
130294,occ,10764,Protarchaeopteryx robusta n. gen. n. sp.,species,Protarchaeopteryx robusta,species,66068,terrestrial,Late Barremian,Early Aptian,125.77,119.57,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Protarchaeopteryx,CN,Liaoning,,41.799999,120.73333,based on political unit,seconds,local area,41.69,129.23,604,Yixian,Jehol,bed,siltstone,,lacustrine indet.,,"body,adpression,soft parts",excellent,conservation,,biostratigraphic,Ji et al.,1998.0,4006,vertebrate,6.200000000000003,Mesozoic,Cretaceous
130295,occ,10764,Caudipteryx zoui n. gen. n. sp.,species,Caudipteryx zoui,species,66066,terrestrial,Late Barremian,Early Aptian,125.77,119.57,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Caudipteryx,CN,Liaoning,,41.799999,120.73333,based on political unit,seconds,local area,41.69,129.23,604,Yixian,Jehol,bed,siltstone,,lacustrine indet.,,"body,adpression,soft parts",excellent,conservation,,biostratigraphic,Ji and Ji,1997.0,19421,vertebrate,6.200000000000003,Mesozoic,Cretaceous
137486,occ,11582,Theropoda indet.,unranked clade,Theropoda,unranked clade,38513,terrestrial,Middle Campanian,Late Campanian,83.6,72.2,Chordata,Reptilia,,,,MN,Omnogov,,43.299999,99.599998,estimated from map,1,outcrop,37.54,95.39,628,Baruungoyot,,group of beds,not reported,,terrestrial indet.,,body,excellent,,some macrofossils,taxonomic,Gradzinski et al.,1977.0,59136,vertebrate,11.399999999999991,Mesozoic,Cretaceous
138867,occ,22634,Dinosauria indet.,unranked clade,Dinosauria,unranked clade,52775,terrestrial,Berriasian,Aptian,143.1,113.2,Chordata,Reptilia,,,,IL,Negev,,30.538889,34.726665,stated in text,seconds,small collection,0.64,40.4,508,Hatira,,group of beds,siltstone,,lacustrine - small,,"body,mold/impression,adpression",excellent,concentrate,,taxonomic,Polcyn et al.,1999.0,4203,vertebrate,29.89999999999999,Mesozoic,Cretaceous
139242,occ,11890,Gorgosaurus sternbergi n. sp.,species,Gorgosaurus libratus,species,53194,terrestrial,Late Campanian,,83.6,72.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Gorgosaurus,CA,Alberta,,50.740726,-111.528732,estimated from map,6,local area,60.93,-65.72,101,Dinosaur Park,Belly River,bed,sandstone,,"""channel""",,body,good,,,taxonomic,Matthew and Brown,1922.0,13165,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139249,occ,11892,Hadrosauridae indet.,family,Hadrosauridae,family,38755,terrestrial,Late Campanian,,83.6,72.2,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Hadrosauridae,,CA,Alberta,,50.753296,-111.461914,estimated from map,6,small collection,60.92,-65.63,101,Dinosaur Park,Belly River,bed,not reported,,terrestrial indet.,,body,,,,general faunal/floral,Currie,2005.0,16964,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139250,occ,11893,Gorgosaurus libratus,species,Gorgosaurus libratus,species,53194,terrestrial,Late Campanian,,83.6,72.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Gorgosaurus,CA,Alberta,,50.737015,-111.549347,stated in text,6,small collection,60.93,-65.75,101,Dinosaur Park,Belly River,bed,sandstone,,"""channel""",,body,,,,paleoecologic,Russell,1970.0,4205,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139251,occ,11894,Centrosaurus apertus,species,Centrosaurus apertus,species,63911,terrestrial,Late Campanian,,83.6,72.2,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Ceratopsidae,Centrosaurus,CA,Alberta,,50.737297,-111.528931,stated in text,6,small collection,60.93,-65.72,101,Dinosaur Park,Belly River,bed,not reported,,terrestrial indet.,,body,,,,general faunal/floral,Currie,2005.0,16964,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139252,occ,11895,Gorgosaurus libratus,species,Gorgosaurus libratus,species,53194,terrestrial,Late Campanian,,83.6,72.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Gorgosaurus,CA,Alberta,,50.723866,-111.564636,stated in text,6,small collection,60.93,-65.78,101,Dinosaur Park,Belly River,bed,sandstone,,channel lag,,body,good,,,taxonomic,Russell,1970.0,4205,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139253,occ,11896,Gorgosaurus libratus,species,Gorgosaurus libratus,species,53194,terrestrial,Late Campanian,,83.6,72.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Gorgosaurus,CA,Alberta,,50.740471,-111.525337,stated in text,6,small collection,60.93,-65.71,101,Dinosaur Park,Belly River,bed,not reported,,terrestrial indet.,,body,good,,,taxonomic,Russell,1970.0,4205,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139254,occ,11897,Gorgosaurus libratus n. gen. n. sp.,species,Gorgosaurus libratus,species,53194,terrestrial,Late Campanian,,83.6,72.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Gorgosaurus,CA,Alberta,,50.786999,-111.601021,stated in text,3,small collection,60.99,-65.76,101,Dinosaur Park,Belly River,bed,sandstone,,channel lag,,"body,soft parts",excellent,,,taxonomic,Lambe,1914.0,17547,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139255,occ,11898,Albertosaurus sarcophagus,species,Albertosaurus sarcophagus,species,56319,terrestrial,Late Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Albertosaurus,CA,Alberta,,51.8046,-112.981903,stated in text,4,small collection,63.96,-68.27,101,Scollard,Edmonton,bed,sandstone,,terrestrial indet.,,body,good,,,taxonomic,Osborn,1905.0,9259,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
139256,occ,11899,Albertosaurus sarcophagus,species,Albertosaurus sarcophagus,species,56319,terrestrial,Early Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Albertosaurus,CA,Alberta,,51.819099,-112.981903,stated in text,4,outcrop,63.97,-68.26,101,Horseshoe Canyon,Edmonton,bed,not reported,,terrestrial indet.,,body,,,,taxonomic,Russell,1970.0,4205,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
139257,occ,11900,Albertosaurus arctunguis n. sp.,species,Albertosaurus sarcophagus,species,56319,terrestrial,Early Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Albertosaurus,CA,Alberta,,51.542702,-112.818901,stated in text,4,small collection,63.68,-68.36,101,Horseshoe Canyon,Edmonton,bed,not reported,,terrestrial indet.,,body,good,,,taxonomic,Parks,1928.0,12347,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
139258,occ,11901,Albertosaurus sarcophagus n. gen. n. sp.,species,Albertosaurus sarcophagus,species,56319,terrestrial,Early Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Albertosaurus,CA,Alberta,,51.469898,-112.8423,stated in text,4,small collection,63.63,-68.46,101,Horseshoe Canyon,Edmonton,bed,sandstone,,terrestrial indet.,,body,good,,,taxonomic,Osborn,1905.0,9259,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
139259,occ,11902,Albertosaurus sarcophagus,species,Albertosaurus sarcophagus,species,56319,terrestrial,Early Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Albertosaurus,CA,Alberta,,51.4408,-112.702202,stated in text,4,local area,63.56,-68.32,101,Horseshoe Canyon,Edmonton,bed,not reported,,terrestrial indet.,,body,,,,paleoecologic,Russell,1970.0,4205,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
139260,occ,11604,Titanosaurus colberti n. sp.,species,Isisaurus colberti,species,64311,terrestrial,Maastrichtian,,72.2,66.0,Chordata,Saurischia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Isisaurus,IN,Maharashtra,Chandrapur,21.183332,80.366669,based on nearby landmark,minutes,outcrop,-32.86,71.76,501,Lameta,,bed,claystone,claystone,crevasse splay,forearc basin,body,good,,some macrofossils,taxonomic,Jain and Bandyopadhyay,1997.0,4177,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
139261,occ,11903,Daspletosaurus torosus,species,Daspletosaurus torosus,species,57258,terrestrial,Late Campanian,,83.6,72.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Daspletosaurus,CA,Alberta,,49.083698,-110.681999,stated in text,4,small collection,59.2,-66.13,101,Oldman,Belly River,bed,not reported,,terrestrial indet.,,body,medium,,,paleoecologic,Russell,1970.0,4205,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139290,occ,11915,Daspletosaurus torosus n. gen. n. sp.,species,Daspletosaurus torosus,species,57258,terrestrial,Middle Campanian,,83.6,72.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Daspletosaurus,CA,Alberta,,50.751526,-111.485008,stated in text,6,small collection,60.93,-65.66,101,Oldman,Belly River,bed,sandstone,,fine channel fill,,body,good,,,paleoecologic,Russell,1970.0,4205,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139291,occ,11916,Albertosaurus sarcophagus,species,Albertosaurus sarcophagus,species,56319,terrestrial,Early Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Albertosaurus,CA,Alberta,,51.928299,-112.934799,stated in text,4,small collection,64.06,-68.08,101,Horseshoe Canyon,Edmonton,bed,sandstone,,terrestrial indet.,,body,good,,,paleoecologic,Mallon et al.,2020.0,76179,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
139292,occ,11917,Tyrannosaurus rex,species,Tyrannosaurus rex,species,54833,terrestrial,Late Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus,CA,Alberta,,51.906399,-113.0289,stated in text,4,small collection,64.06,-68.22,101,Scollard,,bed,sandstone,,"""channel""",,body,medium,,,taxonomic,Eberth et al.,2001.0,4218,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
139293,occ,11918,cf. Tyrannosaurus rex,species,Tyrannosaurus rex,species,54833,terrestrial,Late Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tyrannosaurus,CA,Alberta,,51.933334,-113.23333,stated in text,minutes,small collection,64.15,-68.44,101,Scollard,Edmonton,bed,sandstone,,terrestrial indet.,,body,poor,,some macrofossils,paleoecologic,Russell,1970.0,4205,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
139294,occ,11919,Gryposaurus cf. notabilis,species,Gryposaurus notabilis,species,63251,terrestrial,Late Campanian,,83.6,72.2,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Hadrosauridae,Gryposaurus,CA,Alberta,,50.77,-111.529999,based on nearby landmark,2,small collection,60.96,-65.69,101,Oldman,Belly River,bed,not reported,,terrestrial indet.,,body,poor,,,paleoecologic,Prieto-Márquez,2011.0,59147,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139295,occ,11920,Theropoda indet.,unranked clade,Theropoda,unranked clade,38513,terrestrial,Hettangian,Sinemurian,201.4,192.9,Chordata,Reptilia,,,,US,Connecticut,,41.566666,-72.633331,based on political unit,minutes,outcrop,21.08,-9.08,101,Portland,Agawam,formation,sandstone,mudstone,terrestrial indet.,rift,"body,cast",medium,,,general faunal/floral,Rowe and Gauthier,1990.0,36780,vertebrate,8.5,Mesozoic,Jurassic
139306,occ,11923,Amygdalodon patagonicus n. gen. n. sp.,species,Amygdalodon patagonicus,species,66447,terrestrial,Pliensbachian,Early Toarcian,192.9,182.9,Chordata,Saurischia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Amygdalodon,AR,Chubut,,-43.966667,-69.51667,based on nearby landmark,seconds,small collection,-45.45,-10.37,291,Cerro Carnerero,,bed,tuff,claystone,terrestrial indet.,,body,medium,,species names,taxonomic,Cabrera,1947.0,4208,vertebrate,10.0,Mesozoic,Jurassic
139307,occ,11924,Camarasaurus grandis,species,Camarasaurus grandis,species,52961,terrestrial,Kimmeridgian,Tithonian,154.8,143.1,Chordata,Saurischia,NO_ORDER_SPECIFIED,Camarasauridae,Camarasaurus,US,Colorado,Mesa,39.068802,-108.699989,stated in text,4,small collection,26.5,-43.62,101,Morrison,,bed,claystone,sandstone,fluvial-lacustrine indet.,,body,medium,,,taxonomic,Chenoweth,1991.0,63746,vertebrate,11.700000000000017,Mesozoic,Jurassic/Cretaceous
139308,occ,11925,Camarasaurus supremus,species,Camarasaurus supremus,species,54168,terrestrial,Kimmeridgian,,154.8,149.2,Chordata,Saurischia,NO_ORDER_SPECIFIED,Camarasauridae,Camarasaurus,US,Colorado,Mesa,39.111668,-108.717499,based on nearby landmark,seconds,small collection,26.66,-42.07,101,Morrison,,bed,claystone,"""shale""",fluvial-lacustrine indet.,,body,excellent,,,taxonomic,Riggs,1901.0,4209,vertebrate,5.600000000000023,Mesozoic,Jurassic
139340,occ,11931,Ankylosaurus magniventris n. gen. n. sp.,species,Ankylosaurus magniventris,species,52793,terrestrial,Late Maastrichtian,,72.2,66.0,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Ankylosauridae,Ankylosaurus,US,Montana,Garfield,47.637699,-106.569901,stated in text,4,small collection,58.34,-64.7,101,Hell Creek,,group of beds,not reported,,terrestrial indet.,,body,good,,,taxonomic,Brown,1908.0,4210,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
139341,occ,11932,Pleurocoelus sp.,genus,Titanosauriformes,unranked clade,57468,terrestrial,Late Aptian,Early Albian,119.57,110.1,Chordata,Saurischia,,,,US,Oklahoma,Atoka,34.18,-96.278053,estimated from map,seconds,outcrop,37.81,-39.65,101,Antlers,Trinity,bed,sandstone,claystone,coastal indet.,,body,medium,,,taxonomic,Czaplewski et al.,1994.0,14253,vertebrate,9.469999999999999,Mesozoic,Cretaceous
144305,occ,10760,cf. Saurornitholestes sp.,genus,Saurornitholestes,genus,38567,terrestrial,Early Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Dromaeosauridae,Saurornitholestes,RO,Hunedoara,,45.547501,22.9158,estimated from map,4,small collection,25.25,28.75,308,Sînpetru,,bed,sandstone,siltstone,wet floodplain,,body,,,,general faunal/floral,Csiki et al.,2010.0,77788,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
144307,occ,12584,Bistahieversor sealeyi,species,Bistahieversor sealeyi,species,163808,terrestrial,Late Campanian,,83.6,72.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Bistahieversor,US,New Mexico,San Juan,36.06028,-107.966393,based on nearby landmark,seconds,local area,46.35,-70.98,101,Fruitland,,member,not reported,,terrestrial indet.,,body,good,,,taxonomic,Carr and Williamson,2010.0,32137,vertebrate,11.399999999999991,Mesozoic,Cretaceous
144308,occ,12585,Theropoda indet.,unranked clade,Theropoda,unranked clade,38513,terrestrial,Puaroan,,150.0,143.1,Chordata,Reptilia,,,,NZ,Waikato,,-37.383331,174.71666,based on nearby landmark,minutes,outcrop,-81.29,157.11,806,Huriwai Measures,,formation,sandstone,conglomerate,delta front,,body,poor,,some macrofossils,,Molnar et al.,1998.0,4249,vertebrate,6.900000000000006,Mesozoic,Jurassic/Cretaceous
146081,occ,12855,Abelisauridae indet.,family,Abelisauridae,family,53942,terrestrial,Late Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Abelisauridae,,BO,Cochabamba,,-17.687,-65.940002,based on nearby landmark,3,outcrop,-18.71,-47.75,201,El Molino,Puca,bed,sandstone,,estuary/bay,,body,,,some macrofossils,taxonomic,Gianechini and Apesteguía,2012.0,76372,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
147092,occ,12977,Stenotholus kohleri n. gen. n. sp.,species,Pachycephalosaurus wyomingensis,species,64648,terrestrial,Maastrichtian,,72.2,66.0,Chordata,Ornithischia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Pachycephalosaurus,US,Montana,McCone,47.695831,-106.227776,stated in text,seconds,outcrop,58.37,-63.56,101,Hell Creek,,bed,sandstone,siltstone,"""channel""",,body,good,,,taxonomic,Giffin et al.,1988.0,4306,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
147093,occ,12977,Hadrosauridae indet.,family,Hadrosauridae,family,38755,terrestrial,Maastrichtian,,72.2,66.0,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Hadrosauridae,,US,Montana,McCone,47.695831,-106.227776,stated in text,seconds,outcrop,58.37,-63.56,101,Hell Creek,,bed,sandstone,siltstone,"""channel""",,body,good,,,taxonomic,Giffin et al.,1988.0,4306,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
148500,occ,13105,Sonorasaurus thompsoni n. gen. n. sp.,species,Sonorasaurus thompsoni,species,68170,terrestrial,Late Albian,Early Cenomanian,106.3,93.9,Chordata,Saurischia,NO_ORDER_SPECIFIED,Brachiosauridae,Sonorasaurus,US,Arizona,Cochise,31.81139,-110.418053,based on nearby landmark,seconds,outcrop,38.67,-69.09,101,Turney Ranch,Bisbee,bed,sandstone,,fluvial indet.,,"body,trace",poor,,some macrofossils,taxonomic,Ratkevich,1998.0,14864,vertebrate,12.399999999999991,Mesozoic,Cretaceous
148510,occ,13106,Vegaviidae indet.,unranked clade,Vegaviidae,unranked clade,361851,terrestrial,Late Maastrichtian,,72.2,66.0,Chordata,Aves,Anseriformes,Vegaviidae,,AQ,,,-64.273613,-56.72361,stated in text,seconds,,-59.33,-70.64,803,López de Bertodano,,,siltstone,"""carbonate""",marine indet.,,"body,concretion",medium,,"all microfossils,some macrofossils,difficult macrofossils",taxonomic,Agnolín et al.,2017.0,63548,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
148628,occ,13108,Mononykus olecranus,species,Mononykus olecranus,species,67287,terrestrial,Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Alvarezsauridae,Mononykus,MN,Omnogov,,43.540001,99.599998,estimated from map,2,small collection,36.26,93.05,628,Nemegt,,group of beds,sandstone,,terrestrial indet.,,body,good,,some macrofossils,taxonomic,Perle et al.,1994.0,4373,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
148629,occ,13108,Tarbosaurus bataar,species,Tarbosaurus bataar,species,63705,terrestrial,Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tarbosaurus,MN,Omnogov,,43.540001,99.599998,estimated from map,2,small collection,36.26,93.05,628,Nemegt,,group of beds,sandstone,,terrestrial indet.,,body,good,,some macrofossils,taxonomic,Perle et al.,1994.0,4373,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
148633,occ,13110,Dinosauria indet.,unranked clade,Dinosauria,unranked clade,52775,terrestrial,Cretaceous,,143.1,66.0,Chordata,Reptilia,,,,EG,Al Bahr al Ahmar,,23.380833,34.806946,based on nearby landmark,seconds,small collection,5.22,39.67,715,Abraq,,bed,sandstone,claystone,fluvial indet.,,body,poor,,,biostratigraphic,Selim and Said,1993.0,4374,vertebrate,77.1,Mesozoic/Cenozoic,Cretaceous/Paleogene
149328,occ,13142,? Coeluridae indet.,family,Coeluridae,family,53001,terrestrial,Late Maastrichtian,,72.2,66.0,Chordata,Reptilia,NO_ORDER_SPECIFIED,Coeluridae,,US,Montana,McCone County,47.799999,-106.099998,based on nearby landmark,1,outcrop,58.34,-64.03,101,Hell Creek,,group of beds,sandstone,,coarse channel fill,,body,good,,"some macrofossils,some microfossils",taxonomic,Estes et al.,1969.0,4381,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
149585,occ,13209,Lithostrotia indet.,unranked clade,Lithostrotia,unranked clade,71974,terrestrial,Campanian,,83.6,72.2,Chordata,Saurischia,,,,AR,Salta,Candelaria,-24.299999,-65.26667,based on political unit,seconds,outcrop,-26.12,-43.05,201,Los Blanquitos,Salta,bed,sandstone,sandstone,fluvial indet.,,body,medium,,,biostratigraphic,Gallina and Otero,2015.0,76304,vertebrate,11.399999999999991,Mesozoic,Cretaceous
149586,occ,13210,Carnosauria indet.,infraorder,Carnosauria,infraorder,53943,terrestrial,Late Maastrichtian,,72.2,66.0,Chordata,Reptilia,Avetheropoda,,,AR,Salta,Candelaria,-24.299999,-65.26667,based on political unit,seconds,local area,-25.32,-48.46,201,Yacoraite,Salta,bed,sandstone,mudstone,terrestrial indet.,,body,poor,,,biostratigraphic,Bonaparte et al.,1977.0,55175,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
149592,occ,13212,Creosaurus atrox n. gen. n. sp.,species,Allosaurus fragilis,species,52962,terrestrial,Kimmeridgian,Tithonian,154.8,143.1,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Allosaurus,US,Wyoming,Albany,41.893101,-106.041,stated in text,4,small collection,28.58,-40.48,101,Morrison,,bed,claystone,,wet floodplain,,body,good,,,general faunal/floral,Marsh,1878.0,7813,vertebrate,11.700000000000017,Mesozoic,Jurassic/Cretaceous
149596,occ,13214,Creosaurus atrox,species,Allosaurus fragilis,species,52962,terrestrial,Kimmeridgian,Tithonian,154.8,143.1,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Allosaurus,US,Wyoming,Converse,42.035831,-106.389999,based on nearby landmark,seconds,outcrop,28.79,-40.71,101,Morrison,,group of beds,not reported,,terrestrial indet.,,body,,,,taxonomic,Williston,1901.0,4387,vertebrate,11.700000000000017,Mesozoic,Jurassic/Cretaceous
149597,occ,13214,Allosaurus fragilis,species,Allosaurus fragilis,species,52962,terrestrial,Kimmeridgian,Tithonian,154.8,143.1,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Allosaurus,US,Wyoming,Converse,42.035831,-106.389999,based on nearby landmark,seconds,outcrop,28.79,-40.71,101,Morrison,,group of beds,not reported,,terrestrial indet.,,body,,,,taxonomic,Williston,1901.0,4387,vertebrate,11.700000000000017,Mesozoic,Jurassic/Cretaceous
149598,occ,13214,Diplodocus sp.,genus,Diplodocus,genus,38669,terrestrial,Kimmeridgian,Tithonian,154.8,143.1,Chordata,Saurischia,NO_ORDER_SPECIFIED,Diplodocidae,Diplodocus,US,Wyoming,Converse,42.035831,-106.389999,based on nearby landmark,seconds,outcrop,28.79,-40.71,101,Morrison,,group of beds,not reported,,terrestrial indet.,,body,,,,taxonomic,Williston,1901.0,4387,vertebrate,11.700000000000017,Mesozoic,Jurassic/Cretaceous
149599,occ,13214,Stegosaurus sp.,genus,Stegosaurus,genus,38814,terrestrial,Kimmeridgian,Tithonian,154.8,143.1,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Stegosauridae,Stegosaurus,US,Wyoming,Converse,42.035831,-106.389999,based on nearby landmark,seconds,outcrop,28.79,-40.71,101,Morrison,,group of beds,not reported,,terrestrial indet.,,body,,,,taxonomic,Williston,1901.0,4387,vertebrate,11.700000000000017,Mesozoic,Jurassic/Cretaceous
149600,occ,13214,Morosaurus grandis,species,Camarasaurus grandis,species,52961,terrestrial,Kimmeridgian,Tithonian,154.8,143.1,Chordata,Saurischia,NO_ORDER_SPECIFIED,Camarasauridae,Camarasaurus,US,Wyoming,Converse,42.035831,-106.389999,based on nearby landmark,seconds,outcrop,28.79,-40.71,101,Morrison,,group of beds,not reported,,terrestrial indet.,,body,,,,taxonomic,Williston,1898.0,52556,vertebrate,11.700000000000017,Mesozoic,Jurassic/Cretaceous
149601,occ,13214,Antrodemus valens,species,Allosaurus fragilis,species,52962,terrestrial,Kimmeridgian,Tithonian,154.8,143.1,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Allosaurus,US,Wyoming,Converse,42.035831,-106.389999,based on nearby landmark,seconds,outcrop,28.79,-40.71,101,Morrison,,group of beds,not reported,,terrestrial indet.,,body,,,,taxonomic,Williston,1901.0,4387,vertebrate,11.700000000000017,Mesozoic,Jurassic/Cretaceous
149611,occ,13218,Hadrosauroidea indet.,unranked clade,Hadrosauroidea,unranked clade,52811,terrestrial,Late Maastrichtian,,72.2,66.0,Chordata,Ornithischia,,,,FR,Haute-Garonne,,43.142776,0.948611,estimated from map,seconds,small collection,31.33,9.76,305,Calcarenites du Jadet,Ausseing,bed,grainstone,,shallow subtidal indet.,,body,poor,,some macrofossils,taxonomic,Dalla Vecchia,2014.0,56054,vertebrate,6.200000000000003,Mesozoic/Cenozoic,Cretaceous/Paleogene
149834,occ,13263,Theropoda indet.,unranked clade,Theropoda,unranked clade,38513,terrestrial,Rhaetian,Hettangian,205.7,199.5,Chordata,Reptilia,,,,US,Colorado,Montrose,38.27861,-108.930832,based on nearby landmark,seconds,outcrop,12.92,-37.93,101,Wingate Sandstone,Glen Canyon,bed,mudstone,,terrestrial indet.,,trace,,,,general faunal/floral,Bunker,1957.0,4395,vertebrate,6.199999999999989,Mesozoic,Triassic/Jurassic
149835,occ,13264,Ornimegalonyx oteroi,species,Ornimegalonyx oteroi,species,290147,terrestrial,Pleistocene,,2.58,0.0117,Chordata,Aves,Strigiformes,Strigidae,Ornimegalonyx,CU,Sierra de Sumidero,Pinar del Río,22.583332,-83.666664,based on political unit,minutes,,22.76,-83.33,206,,,,,,terrestrial indet.,,body,,,,taxonomic,Brodkorb,1961.0,4396,vertebrate,2.5683000000000002,Cenozoic,Quaternary
